매물번호,매물명,거래타입,보증금/매매가,월세,전용면적,건물명_원본,기존주소,위도,경도,시도,시군구,읍면동,법정동코드,지번주소,지번,본번,부번,산여부,도로명주소,건물명_카카오,지하여부,완전주소,주소타입,우편번호,중개사
2539909118,중소형사무실,매매,"2억 3,000",,69,중소형사무실,,37.50164,127.035645,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 642-1,642-1,642,1,N,서울특별시 강남구 테헤란로25길 20,역삼현대벤쳐텔,N,서울특별시 강남구 테헤란로25길 20,road,06132,성지현대공인중개사사무소
2539892256,대형사무실,월세,"3억 8,000","1,733",822,대형사무실,,37.493408,127.043049,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 787-12,787-12,787,12,N,서울특별시 강남구 도곡로 221,셀라빌딩,N,서울특별시 강남구 도곡로 221,road,06231,더큰공인중개사사무소
2539886590,중소형사무실,월세,"3,000",180,117,중소형사무실,,37.491052,127.032692,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 837-19,837-19,837,19,N,서울특별시 강남구 도곡로3길 13,르-메이에르 타운,N,서울특별시 강남구 도곡로3길 13,road,06253,에이치부동산중개법인주식회사(분사무소)
2539882375,중소형사무실,월세,"5,000",440,116,중소형사무실,,37.50399,127.038795,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 672-4,672-4,672,4,N,서울특별시 강남구 테헤란로33길 34,,N,서울특별시 강남구 테헤란로33길 34,road,06139,강남명가부동산중개
2539895152,중소형사무실,월세,"2,000",150,66,중소형사무실,,37.498371,127.036769,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 738-18,738-18,738,18,N,서울특별시 강남구 논현로85길 5-15,,N,서울특별시 강남구 논현로85길 5-15,road,06237,더큰공인중개사사무소
2539928048,중소형사무실,월세,"5,000",278,147,중소형사무실,,37.493408,127.043049,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 787-12,787-12,787,12,N,서울특별시 강남구 도곡로 221,셀라빌딩,N,서울특별시 강남구 도곡로 221,road,06231,스타리얼티주식회사
2539958805,중소형사무실,월세,"1,000",100,29,중소형사무실,,37.506233,127.032755,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 605-12,605-12,605,12,N,서울특별시 강남구 봉은사로24길 9,,N,서울특별시 강남구 봉은사로24길 9,road,06125,신가람공인중개사사무소
2539940285,대형사무실,월세,"2억 5,000","2,500",522,대형사무실,,37.491617,127.037429,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 799-9,799-9,799,9,N,서울특별시 강남구 도곡로 161,동남빌딩,N,서울특별시 강남구 도곡로 161,road,06256,이안공인중개사사무소
2539914483,대형사무실,월세,2억,"1,400",243,대형사무실,,37.504749,127.028613,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 615-25,615-25,615,25,N,서울특별시 강남구 논현로105길 71,,N,서울특별시 강남구 논현로105길 71,road,06124,삼광공인중개사사무소
2539923571,대형사무실,월세,"3억 8,000","1,733",1099,대형사무실,,37.493408,127.043049,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 787-12,787-12,787,12,N,서울특별시 강남구 도곡로 221,셀라빌딩,N,서울특별시 강남구 도곡로 221,road,06231,스타리얼티주식회사
